等级,位置,类型,出处声明,引文,命中文献,命中章节,原文,匹配度,问题,建议,上下文
D,body[341],body,黄帝内经,过言者伤肺，则金不生水,,,,,未在任何参考文献中找到,,幺弟：爸爸，这句话就是提醒我们，每天不要话太多了，多做就行了。我们人精力有限，说的越多了，做的就很少了，做的少了，就变穷了。 ⏎ 《黄帝内经》中讲“〖过言者伤肺，则金不生水〗”。孔子也说，“君子讷于言而敏于行”，也是叫我们要少说多做。很多人不讨人喜欢，肯定就是话太多了。有的人就是这个样子，没等你话说完，他就抢着说，让人心里火大。那种情况下，他说的再多也没什么用，别人肯定也【作者解读】出自《黄帝内经》。
D,note[347],note,黄帝内经·素问,五气所病……肺为咳,黄帝内经,,"入。

	五气所病(1)：心为",71.4,matched_passage 为“五气所病(1)：心为”，与引文“五气所病……肺为咳”无实质关联，score 虽高但内容不匹配,,2、“过言者伤肺，则金不生水”，此句为中医五行生克理论的临床推演，其思想根植于《‌黄帝内经·素问‌》。《素问·宣明五气篇》载：“五气所病……‌肺为咳‌。”《素问·经脉别论》亦云：“‌有所疾呼，喘渴者，〖五气所病……肺为咳〗思想根植于《‌黄帝内经·素问‌》。《素问·宣明五气篇》载：“五气所病……‌肺为咳‌。”《素问·经脉别论》亦云：“‌有所疾呼，喘渴者，水气在肺‌。”尤其在疲劳、体虚时多语，更易引发咳嗽、气短、声嘶等症。【作者解读】尤其在疲劳、体虚时多语，更易引发咳嗽、气短、声嘶等症。
D,note[347],note,黄帝内经·素问,有所疾呼，喘渴者，水气在肺,,,,,未在任何参考文献中找到,,2、“过言者伤肺，则金不生水”，此句为中医五行生克理论的临床推演，其思想根植于《‌黄帝内经·素问‌》。《素问·宣明五气篇》载：“五气所病……‌肺为咳‌。”《素问·经脉别论》亦云：“‌〖有所疾呼，喘渴者，水气在肺〗‌。”尤其在疲劳、体虚时多语，更易引发咳嗽、气短、声嘶等症。 ⏎ --	3、“君子讷于言而敏于行”出自《论语・里仁篇》。君子：此处指品德高尚、言行有度、注重自身修养的【作者解读】尤其在疲劳、体虚时多语，更易引发咳嗽、气短、声嘶等症。
D,note[368],note,孔子家语·六本,与善人居，像入兰芝之室，而久闻其香,,,,,未在任何参考文献中找到,,"这句话本来意思就是孩子能成为大才是多方面的原因,还有先天遗传、家庭环境、社会大环境影响等方面的影响。我们每个人不可能什么都占有，如果有一个不足，就用另外两个去弥补。就好像“孟母三迁”一样，像孔子说的“〖与善人居，像入兰芝之室，而久闻其香〗”，又像《管子·牧民》中说的“仓廪实则知礼节，衣食足则知荣辱”。总之就是给娃儿提供一个好的物质环境，好的品德自然就形成了。“性相近也，习相远也”也和不同环境影响有关，只要父母都能晓得至“兰芝之室”这个【作者解读】出自《孔子家语·六本》，原文为“与善人居，如入芝兰之室，久而不闻其香，即与之化矣”。"
D,note[368],note,列女传·邹孟轲母,孟母三迁,,,,,未在任何参考文献中找到,,"万物的本源，德是自然的流露,这句话本来意思就是孩子能成为大才是多方面的原因,还有先天遗传、家庭环境、社会大环境影响等方面的影响。我们每个人不可能什么都占有，如果有一个不足，就用另外两个去弥补。就好像“〖孟母三迁〗”一样，像孔子说的“与善人居，像入兰芝之室，而久闻其香”，又像《管子·牧民》中说的“仓廪实则知礼节，衣食足则知荣辱”。总之就是给娃儿提供一个好的物质环境，好的品德自然就形成了。“性相近也，习相远也”也【作者解读】出自西汉刘向《列女传·邹孟轲母》。"
D,note[378],note,孔子家语·六本,与善人居，如入芝兰之室，久而不闻其香，即与之化矣；与不善人居，如入鲍鱼之肆，久而不闻其臭，亦与之化矣,,,,,未在任何参考文献中找到,,-- ⏎ 5)	“与善人居，如入芝兰之室”是出自《孔子家语·六本》‌。原文为‌：“〖与善人居，如入芝兰之室，久而不闻其香，即与之化矣；与不善人居，如入鲍鱼之肆，久而不闻其臭，亦与之化矣〗。”意思是，与品德高尚的人相处，就如同进入充满兰香的房间，久居其中，自身也能染上芬芳香气却又自己感觉不到；反之，与品行低劣的人交往，则如同身处鱼肆，时间久了身上都是那种腥臭还浑然不知。这句话和“近朱者【作者解读】出自《孔子家语·六本》。
D,body[415],body,淮南子,夫无形者，物之大祖也；无音者，声之大宗也。,,,,,未在任何参考文献中找到,,“肯定就是她小时候，她父母就是这个样子给她辅导作业的，她从小就养成习惯了，以为这样就是对儿子的爱”，这个就是背后无形的真相。我们每个人只要掌握了这个无形的规律，就能从容应对世间有形的变化。淮南子说，“〖夫无形者，物之大祖也；无音者，声之大宗也。〗”也表明了，所有有形之物都诞生于这个无形的根源。就像《易经》里面的“太极”就是无形的“大象”，它本身不是个东西，它有能生成所有东西的可能。 ⏎ 注释:【作者解读】作者引用《淮南子》来佐证“无形”是万物根源的观点。
D,body[419],body,淮南子・卷一・原道训,夫无形者，物之大祖也；无音者，声之大宗也,,,,,未在任何参考文献中找到,,-- ⏎ --	2、“〖夫无形者，物之大祖也；无音者，声之大宗也〗”，出自《淮南子・卷一・原道训》。夫：发语词。无形：指道，宇宙本体，无形无象、虚寂混沌、超越形质。物：天地万物，一切有形有象的存在。大祖（太祖）：始祖、本源、根源、最初的祖先。无音：指道的无声之音、大【作者解读】出自《淮南子・卷一・原道训》。作者逐词解释了句意，并给出整句的翻译。
D,body[461],body,佛说十善业道经,人不为己，天诛地灭,,,,,未在任何参考文献中找到,,‌‌ ⏎ 34 该如何正确理解“〖人不为己，天诛地灭〗”？ ⏎ 爸爸：幺弟，“人不为己，天诛地灭”这句话对吗？怎么感觉是在教人自私自利呢！【作者解读】最早见于西晋法护译《佛说十善业道经》。
D,body[471],body,道德经,心不死，则道不生,孟子（杨伯峻译注）,,心不若人，则不知,57.1,matched_passage与quote无实质关联,,--	‌ ⏎ 35 为何说“〖心不死，则道不生〗”？ ⏎ 爸爸：幺弟，为何说“心不死，则道不生”，你是怎么理解的？【作者解读】作者在注释中指出此句并非出自某一部传统国学经典原文，而是融合道家《道德经》《庄子》的核心思想，并解释了“不死”的含义。
D,body[482],body,,凡皆所求，皆被其所困,,,,,未在任何参考文献中找到,,幺弟：很多人买很贵的汽车，都是为了面子。有很多人收入并不高，买了车天天放在家里，开出去又舍不得油费，不开吧又花了这么多钱，放在家里又可惜了。车子挺贵的，又害怕别人把它刮伤了，心里又心疼的很，正所谓“〖凡皆所求，皆被其所困〗”。爸爸，假如按你的收入驾驭了一个很贵的汽车，你买了它，就被它困住了，担惊受怕的。还不如你开个两轮车，价格便宜，随便开起来去耍，开烂了，又换一个新的，又不需要保养，非常自在和开心。【作者解读】作者用此句作为对前文“买了贵车后担惊受怕”现象的总结性评论。
D,body[483],body,,凡我所求，皆受其所困,,,,,未在任何参考文献中找到,,是你辛苦赚来的，你就驾驭不了这个钱。把它放在家里面又害怕小偷；放到银行又害怕到时候取不出来；还不敢告诉自己的亲朋好友，害怕他们来借；借了又害怕不还；也不敢投资做生意，投了又害怕亏钱。爸爸你看，是不是“〖凡我所求，皆受其所困〗”嘛！“君子役物，小人役于物”，很多人都被“物”牵着鼻子走，自己还不知道。就像很多阿姨爱美，柜子里面很多漂亮衣服，出个门儿都还要选很久，不知道要穿哪件好，这个也是被衣服困住了。假如我只有这两件衣服，就【作者解读】与前文“凡皆所求，皆被其所困”类似，为现代网络提炼语
D,body[483],body,荀子·修身,君子役物，小人役于物,论语（杨伯峻译注）,十二、本书引用诸家，除仲父及师友称字并称“先生”外，余皆称名。,君子⑴喻于义，小人⑴喻于,55.6,matched_passage与quote无实质关联,,这个钱。把它放在家里面又害怕小偷；放到银行又害怕到时候取不出来；还不敢告诉自己的亲朋好友，害怕他们来借；借了又害怕不还；也不敢投资做生意，投了又害怕亏钱。爸爸你看，是不是“凡我所求，皆受其所困”嘛！“〖君子役物，小人役于物〗”，很多人都被“物”牵着鼻子走，自己还不知道。就像很多阿姨爱美，柜子里面很多漂亮衣服，出个门儿都还要选很久，不知道要穿哪件好，这个也是被衣服困住了。假如我只有这两件衣服，就不会为选衣服烦恼了。【作者解读】出自《荀子·修身》
D,body[484],body,道德经,万物皆可为我所用，皆不为我所有,,,,,未在任何参考文献中找到,,要穿哪件好，这个也是被衣服困住了。假如我只有这两件衣服，就不会为选衣服烦恼了。 ⏎ 爸爸，你看，很多能干的成功的人也读了《道德经》，他们物质上要求的很少，他们都知道“〖万物皆可为我所用，皆不为我所有〗”的道理。所以，东西都只是工具，都是为我服务的，我才是主人。只有这样子，我们的精力才不会被万物困住，自己的精力才会专注做自己想做的事情。《道德经》里面“少则得，多则惑”也是这个道理。《黄帝内经》提醒人【作者解读】现代对道家思想的化用表述，非《道德经》原文
D,body[503],body,黄帝阴符经,观天之道，执天之行,道德经（王弼注）,第五十四章,心观天下之道也，天,62.5,matched_passage 与 quote 无实质关联，score 仅 62.5，且出处不符,,爸爸，肯定不是。好像一条河里面的河水，一直不停的往东流，这就是“天行健”。“君子以自强不息”，是喊我们每个人效法这个“天道”的刚健，顺应天道的规律，加上自身不断努力，才能达到目的。爸爸，《阴符经》中“〖观天之道，执天之行〗”，也表达了类似的意思。 ⏎ 比方说，一个卖菜的老板，他卖菜经常缺斤少两，把好菜和烂菜合到一起卖给别人，哪怕是这个老板每天再努力拼搏，他也不可能赚到钱，生意肯定越来越【作者解读】出自《黄帝阴符经》
D,body[509],body,安得长者言,女子无才便是德,周易（南怀瑾译注）,第十一章,无常”，便是龙的德,57.1,matched_passage 与 quote 无实质关联，score 仅 57.1，且出处不符,,道，执天之行，尽矣。”意思是，觉察和通达天道的规律，遵循这个规律去作为（有所为有所不为），就很圆满了。表达了以天道为体，以人道为用的理念。 ⏎ 39 该如何正确理解“〖女子无才便是德〗”这句话？ ⏎ 爸爸：幺弟，“女子无才便是德”这句话该如何理解？好多人认为是“女人没有才华就是美德”？【作者解读】出自明代陈继儒《安得长者言》，原句为“男子有德便是才，女子无才便是德”。
D,body[524],body,道德经,名与身孰亲，身与祸孰多，得与亡孰病,,,,,未在任何参考文献中找到,,幺弟：爸爸，《道德经》里面有句话，“名与身孰亲， 身与祸孰多，得与亡孰病”，你看懂啥意思了嘛？〖名与身孰亲，身与祸孰多，得与亡孰病〗【作者解读】作者通过对话形式引用，随后在注释中详细解释此句出自《道德经》第四十四章，并逐词释义。
D,body[536],body,诗经·魏风·伐檀,不稼不穑，胡取禾三百廛兮,,,,,未在任何参考文献中找到,,自己的修养不够，不会担心自己贫穷。我们人就好像一棵树，懒就是树根烂了，穷就是树叶枯了，肯定是根烂了更加可怕。穷不可怕，只要自己努力肯定也会变富。懒就是拒绝改变，老想着天上掉一坨钱下来，《诗经》也讲了“〖不稼不穑，胡取禾三百廛兮〗”，这句话说的就是，你不种田，凭什么粮食堆满屋？《诗经》大雅中讲，“靡不有初，鲜克有终”，很多人做事都是一时热血，因为懒，就没有坚持下去嘛！ ⏎ --	1、“饱食终日【作者解读】出自《诗经·魏风·伐檀》。作者用白话解释其含义。
D,body[536],body,诗经·大雅·荡之什·荡,靡不有初，鲜克有终,诗经（周振甫译注）,,靡不有初，不是没有,62.5,matched_passage 不完整且 score 仅 62.5，无法确认匹配,,根烂了更加可怕。穷不可怕，只要自己努力肯定也会变富。懒就是拒绝改变，老想着天上掉一坨钱下来，《诗经》也讲了“不稼不穑，胡取禾三百廛兮”，这句话说的就是，你不种田，凭什么粮食堆满屋？《诗经》大雅中讲，“〖靡不有初，鲜克有终〗”，很多人做事都是一时热血，因为懒，就没有坚持下去嘛！ ⏎ --	1、“饱食终日，无所用心，难矣哉”出自《论语·阳货篇》。意思是说，整天就吃饱了饭，却不用心思考或做事【作者解读】出自《诗经·大雅·荡之什·荡》。作者用白话解释其含义。
D,body[545],body,大学,德者本也，财者末也,,,,,未在任何参考文献中找到,,天你不播种，秋天你就没得收获。“命由天定，运由己造”，“积善之家，必有余庆；积不善之家，必有余殃”。爸爸，这就像打牌一样，命就是你拿了一手好牌，但如果你乱打，再好的牌，最后你也赢不到！《大学》里提到“〖德者本也，财者末也〗”，《中庸》里面也讲“大德者必得其位，必得其禄，必得其名，必得其寿”。这两句话都是在提醒我们，德行是树根，财富是枝叶。德行好了，财富自然就来了。在古代，为啥要把“修身”排在第一位？修身就是修德，如果你【作者解读】出自《大学》。作者用比喻解释其含义。
D,body[549],body,了凡四训,命由天定，运由己造,,,,,未在任何参考文献中找到,,-- ⏎ --	2、“〖命由天定，运由己造〗”。这个表述虽非直接引自《周易》，但与《周易》中“穷则变，变则通”的变革思想有相通之处‌。命‌：指与生俱来的先天条件，如出身、天赋、寿命等，被视为不可变更的“定数”‌。‌运‌：指人生际遇、发展轨迹，可【作者解读】命‌：指与生俱来的先天条件，如出身、天赋、寿命等，被视为不可变更的“定数”‌。‌运‌：指人生际遇、发展轨迹，可通过个人努力、选择或积德行善改变‌。明代《了凡四训》中，通过实证案例，提出了“命由天定，运由己造”的改命逻辑。这句话是中国传统文化中关于命运的辩证关系的主要观点，融合了宿命论与主观能动性的哲学思想。
D,body[551],body,礼记·大学,德者本也，财者末也,,,,,未在任何参考文献中找到,,‌ ⏎ --	3、“〖德者本也，财者末也〗。”此句出自《礼记·大学》第十四章，原文如下：是故君子先慎乎德。有德此有人，有人此有土，有土此有财，有财此有用。‌德者本也，财者末也‌。外本内末，争民施夺。是故财聚则民散，财散则民聚。德：意为“德行、【作者解读】德：意为“德行、品德、德性”。财：意为“财货、财富、物质利益”。本：意为“根本、根基”。末：意为“枝末、末梢”，与“本”相对，此处侧重“事物的次要部分。意思是：德行是根本，财富只是枝末。
D,body[561],body,大学,君子先慎乎德，有德此有人,,,,,未在任何参考文献中找到,,有德的人才会让人无条件信任你，这才是真正的情商高。还有的人以为说话好听就算是情商高，他们也是搞偏了。假如一个人能力很强，但是他没有德行，做人没有原则，哪个老板敢用？哪个朋友敢和他相处？《大学》就说，“〖君子先慎乎德，有德此有人〗”，就是说君子要重视修养德行，有了德行了，自然就会得到别人的拥护了。只要有人拥护我们，我们想做什么事情都能做成功。所以情商比能力更重要！ ⏎ 1)	‌“一阴一阳之谓道【作者解读】只要有人拥护我们，我们想做什么事情都能做成功。所以情商比能力更重要！
D,note[563],note,礼记·大学,君子先慎乎德，有德此有人,,,,,未在任何参考文献中找到,,和”，指出了阴阳调和是万物生成的根本。孔子通过伏羲六十四卦次序图阐释了“太极生两仪、两仪生四象”的生化过程，也指出了阴阳相互依存、转化、推移的持久法则‌。 ⏎ 2、“〖君子先慎乎德，有德此有人〗”出自《礼记·大学》。完整表述为：“是故君子先慎乎德。有德此有人，有人此有土，有土此有财，有财此有用。”慎乎德：“慎”意为“谨慎、慎重、敬畏”，此处特指“谨慎修养自身德行，敬畏道德准则。有人：此处并非【作者解读】出自《礼记·大学》
D,note[563],note,礼记·大学,是故君子先慎乎德。有德此有人，有人此有土，有土此有财，有财此有用。,,,,,未在任何参考文献中找到,,序图阐释了“太极生两仪、两仪生四象”的生化过程，也指出了阴阳相互依存、转化、推移的持久法则‌。 ⏎ 2、“君子先慎乎德，有德此有人”出自《礼记·大学》。完整表述为：“〖是故君子先慎乎德。有德此有人，有人此有土，有土此有财，有财此有用。〗”慎乎德：“慎”意为“谨慎、慎重、敬畏”，此处特指“谨慎修养自身德行，敬畏道德准则。有人：此处并非“有某一个人”，而是“获得众人的归附、得到民心、凝聚人心”。整句意思是：君子首先要谨慎修养自身的德行，【作者解读】出自《礼记·大学》的完整表述
D,body[602],body,归去来兮辞,心死则形役,,,,,未在任何参考文献中找到,,卦一样，“天地不交，万物不通”。我看到有的夫妻吵架了，两个人都互不关心，电话也拉黑，晚上回到家里也都是各玩各的手机，两个人的心肯定越来越远，最后的结局想都不用想，肯定就是离婚。就像《庄子》里面说的，“〖心死则形役〗”。好比一个手指断了，要是马上去医院就可以接起来，如果时间拖得很久以后就医不好了。夫妻之间也是一样的，如果长期不交流，就得学《道德经》的“和光同尘”。你能和他结婚，肯定他也有优点的。喜欢他的优点，肯定【作者解读】化用自陶渊明《归去来兮辞》中“既自以心为形役”，但非原文，作者误记为《庄子》。
D,body[615],body,礼记·哀公问,不敬其身，是伤其亲，伤其亲，是伤其本也,,,,,未在任何参考文献中找到,,记·哀公问》中说“爱与敬，其政之本也”，这句话告诉我们，治国就好像治家，核心就是爱与敬。夫妻当中如果缺了敬，就像缸底下有个眼，再多的爱也要漏光。假如老公当众嘲笑老婆什么都不会，哪个老婆不发火？孔子说“〖不敬其身，是伤其亲，伤其亲，是伤其本也〗”。 ⏎ 如果不敬对方，就是伤了婚姻的根本，这个婚姻肯定不会长久。爸爸，你和妈妈一定要互相敬哦，你敬妈妈生育之德，我会告诉妈妈尊敬你带娃娃的辛苦。《论语》也说了，“君【作者解读】出自《礼记·哀公问》中孔子之言。
D,body[615],body,礼记·哀公问,爱与敬，其政之本也,,,,,未在任何参考文献中找到,,爸爸：幺弟，你认为婚姻的第一杀手是什么？ ⏎ 幺弟:爸爸，婚姻的第一杀手肯定是失敬。《礼记·哀公问》中说“〖爱与敬，其政之本也〗”，这句话告诉我们，治国就好像治家，核心就是爱与敬。夫妻当中如果缺了敬，就像缸底下有个眼，再多的爱也要漏光。假如老公当众嘲笑老婆什么都不会，哪个老婆不发火？孔子说“不敬其身，是伤其亲，伤其亲，是伤其本【作者解读】出自《礼记·哀公问》。
D,body[624],body,庄子·在宥,丧志于物，神被物役,,,,,未在任何参考文献中找到,,就会疑神疑鬼。体虚就会意乱，每天就会自我怀疑，没有自信心，嫌弃自己的相貌不好看，担心别人不喜欢自己了等等。这种状态不仅仅只是恋爱脑的人会有，许多焦虑自卑的人也会有。可以借用庄子说的一句话来形容，就是“〖丧志于物，神被物役〗”。如果长期恋爱脑，自己的情绪不受自己控制，就会恶性循环。只有学习中庸之道，不要过度投入感情，让自己身心强健了，情绪自然就稳定了。 ⏎ 注释：【作者解读】后世对《庄子·在宥》中“丧己于物，失性于俗者，谓之倒置之民”的语义提炼，作者用来形容被外物奴役的状态
D,body[633],body,礼记·礼运,人不独亲其亲,孟子（杨伯峻译注）,,人不亲，反其仁,66.7,引文'人不独亲其亲'出自《礼记》，检索结果'人不亲，反其仁'出自《孟子》，内容无关,,子打架了，总是偏袒小的，说“大的就该让着小的”。家里有什么好吃的，父母总喜欢偷偷的给喜欢的那个孩子吃。很多父母可能对这种偏心自己都没察觉，觉得没什么大不了的。爸爸，你以后千万不要这个样子，一定要做到“〖人不独亲其亲〗”，“幼吾幼以及人之幼”。如果你无法做到情感上绝对公平，你在处理我和哥哥的事情上面，你一定要做到“以义断，示之以公。”爸爸，我也晓得偏心是人的本能，一个好的父母都会努力的克服这种本能，用道理和公正对待【作者解读】出自《礼记·礼运》。原句为，“故人不独亲其亲，不独子其子”出自《大道之行也》，是说人们不只是对自己的亲人亲，比如奉养自己的父母，疼爱子女等，还需要将这种关怀扩展至他人。
D,body[633],body,晋书·刘毅传,以义断，示之以公,,,,,未在任何参考文献中找到,,均。就像你养了三个狗儿，有个狗儿外表长得好看极了，或者它摇尾巴比其他两个狗儿都摇的圆一点儿，你自然就喜欢它多一点。虽然说手心手背都是肉，但是手心用的多，肯定用起来顺手点。父母也是普通人，肯定无法做到“〖以义断，示之以公〗”。再比如，有的父母看见两个孩子打架了，总是偏袒小的，说“大的就该让着小的”。家里有什么好吃的，父母总喜欢偷偷的给喜欢的那个孩子吃。很多父母可能对这种偏心自己都没察觉，觉得没什么大不了的。爸爸，你以后【作者解读】源自《晋书·刘毅传》。“以义断恩”，指用大义割舍私情。是中国传统政治伦理与司法实践的核心原则，强调以“义”为准则进行决断，并通过公开透明的程序来实行，体现公正性。
D,body[645],body,诗经,父兮生我，母兮鞠我。....欲报之德，昊天罔极！,,,,,未在任何参考文献中找到,,就没读经书，没有重视品德的培养。《论语》说，“父母之年不可不知，一则以喜，一则以惧”，就是让我们一定要记住父母的年龄。父母长寿就开心，父母衰老就担心。现在有几个人能记住父母的生日？《诗经》里面也说，“〖父兮生我，母兮鞠我。....欲报之德，昊天罔极！〗”，《论语》里讲，“父母在，不远游”。你看，很多经书里面都在教导我们要孝顺。要经常读经书，经书在脑子里面了，你怎么可能不孝顺？现在很多孩子看到爸妈干活，忙的屁股都冒烟了，也不知道帮一下忙，还指望他长大【作者解读】出自《诗经》。
D,body[645],body,史记,父母者，人之本也,大学中庸,第二十章,诚之 [57] 者，人之道也,57.1,引文'父母者，人之本也'出自《史记》，检索结果'诚之者，人之道也'出自《中庸》，内容无关,,爸爸：幺弟，可能很多人是没有钱，心有余而力不足。 ⏎ 幺弟：爸爸，孝顺和钱没有关系，最主要就是小时候没教育好。《史记》里说，“〖父母者，人之本也〗”。现在很多人长大成人了，像砍断树根了，不知道生命从何而来，他怎么会孝顺呢？每个妈妈都要给孩子经常讲，小时候带你多不容易，让孩子感觉到养育生命不容易，让他珍惜生命，感恩父母。现在很多父母不让子女做家务【作者解读】出自《史记》。
D,note[647],note,‌史记·屈原贾生列传‌,父母者，人之本也,大学中庸,第二十章,诚之 [57] 者，人之道也,57.1,引文'父母者，人之本也'出自《史记》，检索结果'诚之者，人之道也'出自《中庸》，内容无关,,注释： ⏎ 1、“〖父母者，人之本也〗”，此句完整原文出自西汉司马迁《‌史记·屈原贾生列传‌》：“夫天者，人之始也；‌父母者，人之本也‌。‌人穷则反本‌，故劳苦倦极，未尝不呼天也；疾痛惨怛，未尝不呼父母也。”“本”，既指血缘根基（父母、家【作者解读】“本”，既指血缘根基（父母、家族），也延伸至精神归宿（天地、自然）‌。‌“反本”同“返本”，不是指反对父母，而是指回溯、返回本源的意思。意思是说，父母是人的本源和根，人越是在穷途困境时，越会回归和呼唤来自父母和天地这些根上的力量。
